id,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,season,title
483,486.0,19,483,2011-05-01,2011,22,The Real Housewives of Fat Tony
474,464.0,10,474,2011-01-09,2011,22,Moms I'd Like to Forget
467,501.0,3,467,2010-10-10,2010,22,MoneyBart
475,520.0,11,475,2011-01-16,2011,22,Flaming Moe
217,815.0,14,217,1999-02-14,1999,10,I'm with Cupid
488,528.0,2,488,2011-10-02,2011,23,Bart Stops to Smell the Roosevelts
490,491.0,4,490,2011-11-06,2011,23,Replaceable You
497,553.0,11,497,2012-01-15,2012,23,The D'oh-cial Network
540,475.0,10,540,2014-01-12,2014,25,Married to the Blob
507,408.0,21,507,2012-05-13,2012,23,Ned 'n Edna's Blend
512,415.0,4,512,2012-11-11,2012,24,Gone Abie Gone
517,411.0,9,517,2013-01-06,2013,24,Homer Goes to Prep School
533,482.0,3,533,2013-11-03,2013,25,Four Regrettings and a Funeral
537,440.0,7,537,2013-12-08,2013,25,Yellow Subterfuge
505,568.0,19,505,2012-04-29,2012,23,A Totally Fun Thing That Bart Will Never Do Again
492,712.0,6,492,2011-11-20,2011,23,The Book Job
499,490.0,13,499,2012-02-12,2012,23,The Daughter Also Rises
539,648.0,9,539,2014-01-05,2014,25,Steal This Episode
501,425.0,15,501,2012-03-04,2012,23,Exit Through the Kwik-E-Mart
523,418.0,15,523,2013-03-10,2013,24,"Black Eyed, Please"
503,493.0,17,503,2012-03-18,2012,23,"Them, Robot"
532,654.0,2,532,2013-10-06,2013,25,Treehouse of Horror XXIV
526,405.0,18,526,2013-04-28,2013,24,Pulpit Friction
519,405.0,11,519,2013-01-27,2013,24,The Changing of the Guardian
509,597.0,1,509,2012-09-30,2012,24,Moonshine River
514,430.0,6,514,2012-11-25,2012,24,A Tree Grows in Springfield
510,600.0,2,510,2012-10-07,2012,24,Treehouse of Horror XXIII
515,493.0,7,515,2012-12-09,2012,24,The Day the Earth Stood Cool
521,406.0,13,521,2013-02-17,2013,24,Hardly Kirk-ing
528,410.0,20,528,2013-05-12,2013,24,The Fabulous Faker Boy
535,442.0,5,535,2013-11-17,2013,25,Labor Pains
530,396.0,22,530,2013-05-19,2013,24,Dangers on a Train
218,831.0,15,218,1999-02-21,1999,10,"Marge Simpson in: ""Screaming Yellow Honkers"""
544,407.0,14,544,2014-03-16,2014,25,The Winter of His Content
549,445.0,19,549,2014-04-27,2014,25,What to Expect When Bart's Expecting
560,431.0,8,560,2014-11-23,2014,26,Covercraft
565,377.0,13,565,2015-02-08,2015,26,Walking Big & Tall
579,385.0,5,579,2015-10-25,2015,27,Treehouse of Horror XXVI
584,356.0,10,584,2016-01-03,2016,27,The Girl Code
551,402.0,21,551,2014-05-11,2014,25,Pay Pal
575,532.0,1,575,2015-09-27,2015,27,Every Man's Dream
572,330.0,20,572,2015-05-03,2015,26,Let's Go Fly a Coot
569,374.0,17,569,2015-03-15,2015,26,Waiting for Duffman
581,328.0,7,581,2015-11-22,2015,27,Lisa with an 'S'
563,434.0,11,563,2015-01-11,2015,26,Bart's New Friend
587,252.0,13,587,2016-02-14,2016,27,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4
571,347.0,19,571,2015-04-26,2015,26,The Kids Are All Fight
568,377.0,16,568,2015-03-08,2015,26,Sky Police
553,652.0,1,553,2014-09-28,2014,26,Clown in the Dumps
